2023-12-20 13:53:19,033 - INFO - No candidates found for query: https://www.google.com/maps/search/Turan+Hukuk+B%C3%BCrosu/@41.0085954,29.0456592?authuser=0&hl=tr&entry=ttu, Response: {'candidates': [], 'status': 'ZERO_RESULTS'}
2023-12-20 13:53:19,140 - INFO - No candidates found for query: https://www.google.com/maps/search/Tratu+Yeminli+Terc%C3%BCme+B%C3%BCrosu+-+Sworn+Translation+Services+-+Maslak/@41.1141116,29.022576299999997?authuser=0&hl=tr&entry=ttu, Response: {'candidates': [], 'status': 'ZERO_RESULTS'}
2023-12-20 13:53:19,217 - INFO - No candidates found for query: https://www.google.com/maps/search/GMG+GRUP+HUKUK+VE+DANI%C5%9EMANLIK/@40.9962851,29.1111675?authuser=0&hl=tr&entry=ttu, Response: {'candidates': [], 'status': 'ZERO_RESULTS'}
2023-12-20 13:53:19,588 - INFO - No candidates found for query: https://www.google.com/maps/search/ASKAN+Hukuk+%26+Dan%C4%B1%C5%9Fmanl%C4%B1k+B%C3%BCrosu/@40.9938684,28.9053793?authuser=0&hl=tr&entry=ttu, Response: {'candidates': [], 'status': 'ZERO_RESULTS'}
2023-12-20 13:53:19,874 - INFO - No candidates found for query: https://www.google.com/maps/search/G%C3%BCr+Hukuk+%26+Dan%C4%B1%C5%9Fmanl%C4%B1k/@40.994355,29.037139099999997?authuser=0&hl=tr&entry=ttu, Response: {'candidates': [], 'status': 'ZERO_RESULTS'}
2023-12-20 13:53:19,924 - INFO - No candidates found for query: https://www.google.com/maps/search/%C3%96Z%C3%87EL%C4%B0K+HUKUK+B%C3%9CROSU/@41.076246999999995,28.975543000000002?authuser=0&hl=tr&entry=ttu, Response: {'candidates': [], 'status': 'ZERO_RESULTS'}
2023-12-20 13:53:20,050 - INFO - No candidates found for query: https://www.google.com/maps/search/ZBB+LEGAL/@40.9929555,29.0464028?authuser=0&hl=tr&entry=ttu, Response: {'candidates': [], 'status': 'ZERO_RESULTS'}
2023-12-20 13:53:20,478 - INFO - No candidates found for query: https://www.google.com/maps/search/Avukat+T%C3%BCrkay+Orhan/@40.9793569,28.870524000000003?authuser=0&hl=tr&entry=ttu, Response: {'candidates': [], 'status': 'ZERO_RESULTS'}
2023-12-20 13:53:20,556 - INFO - No candidates found for query: https://www.google.com/maps/search/KARAKE%C3%87%C4%B0L%C4%B0+HUKUK+%26+DANI%C5%9EMANLIK/@41.0003619,28.797973300000002?authuser=0&hl=tr&entry=ttu, Response: {'candidates': [], 'status': 'ZERO_RESULTS'}
2023-12-20 13:53:20,591 - INFO - No candidates found for query: https://www.google.com/maps/search/BBC+Legal/@41.0645348,28.987247000000004?authuser=0&hl=tr&entry=ttu, Response: {'candidates': [], 'status': 'ZERO_RESULTS'}
2023-12-20 13:53:20,637 - INFO - No candidates found for query: https://www.google.com/maps/search/Dikmen+Hukuk/@41.0630198,28.9868165?authuser=0&hl=tr&entry=ttu, Response: {'candidates': [], 'status': 'ZERO_RESULTS'}
2023-12-20 13:53:20,797 - INFO - No candidates found for query: https://www.google.com/maps/search/Pusula+Hukuk+%26+Dan%C4%B1%C5%9Fmanl%C4%B1k/@40.973287,29.049484?authuser=0&hl=tr&entry=ttu, Response: {'candidates': [], 'status': 'ZERO_RESULTS'}
2023-12-20 13:53:20,922 - INFO - No candidates found for query: https://www.google.com/maps/search/Deniz+Hukuk+B%C3%BCrosu/@40.9941189,29.143310699999994?authuser=0&hl=tr&entry=ttu, Response: {'candidates': [], 'status': 'ZERO_RESULTS'}
2023-12-20 13:53:20,975 - INFO - No candidates found for query: https://www.google.com/maps/search/Vefa+Hukuk+B%C3%BCrosu/@41.065050299999996,29.0022503?authuser=0&hl=tr&entry=ttu, Response: {'candidates': [], 'status': 'ZERO_RESULTS'}
2023-12-20 13:53:21,212 - INFO - No candidates found for query: https://www.google.com/maps/search/Abdiko%C4%9Flu+Hukuk+%26+Dan%C4%B1%C5%9Fmanl%C4%B1k/@41.051863499999996,28.994580900000003?authuser=0&hl=tr&entry=ttu, Response: {'candidates': [], 'status': 'ZERO_RESULTS'}
2023-12-20 13:53:21,320 - INFO - No candidates found for query: https://www.google.com/maps/search/Ali+G%C3%BCl%C3%BCm/@41.028694,28.973464999999997?authuser=0&hl=tr&entry=ttu, Response: {'candidates': [], 'status': 'ZERO_RESULTS'}
2023-12-20 13:53:21,926 - INFO - No candidates found for query: https://www.google.com/maps/search/Yi%C4%9Fit+Hukuk+%26+Dan%C4%B1%C5%9Fmanl%C4%B1k/@41.0006984,29.0547898?authuser=0&hl=tr&entry=ttu, Response: {'candidates': [], 'status': 'ZERO_RESULTS'}
2023-12-20 13:53:22,170 - INFO - No candidates found for query: https://www.google.com/maps/search/K%C4%B1lba%C5%9Fo%C4%9Flu+Avukatl%C4%B1k+B%C3%BCrosu/@41.084762,29.013047?authuser=0&hl=tr&entry=ttu, Response: {'candidates': [], 'status': 'ZERO_RESULTS'}
2023-12-20 13:53:22,179 - INFO - No candidates found for query: https://www.google.com/maps/search/BALAT+HUKUK+B%C3%9CROSU/@40.9174072,29.200165799999997?authuser=0&hl=tr&entry=ttu, Response: {'candidates': [], 'status': 'ZERO_RESULTS'}
2023-12-20 13:53:22,191 - INFO - No candidates found for query: https://www.google.com/maps/search/%C3%9Cnver+Hukuk+B%C3%BCrosu/@41.0114081,28.900686?authuser=0&hl=tr&entry=ttu, Response: {'candidates': [], 'status': 'ZERO_RESULTS'}
2023-12-20 13:53:22,227 - INFO - No candidates found for query: https://www.google.com/maps/search/Avukat+%C3%9Cnal+I%C5%9F%C4%B1k+Cihan+I%C5%9F%C4%B1k/@41.0376984,28.8815157?authuser=0&hl=tr&entry=ttu, Response: {'candidates': [], 'status': 'ZERO_RESULTS'}
2023-12-20 13:53:22,673 - INFO - No candidates found for query: https://www.google.com/maps/search/Birle%C5%9Fim+Hukuk/@41.073194199999996,28.981311899999998?authuser=0&hl=tr&entry=ttu, Response: {'candidates': [], 'status': 'ZERO_RESULTS'}
2023-12-20 13:53:22,675 - INFO - No candidates found for query: https://www.google.com/maps/search/Eren+Hukuk+B%C3%BCrosu/@40.9672595,29.1072533?authuser=0&hl=tr&entry=ttu, Response: {'candidates': [], 'status': 'ZERO_RESULTS'}
2023-12-20 13:53:22,892 - INFO - No candidates found for query: https://www.google.com/maps/search/G%C3%96KER+HUKUK%26DANI%C5%9EMANLIK/@41.047104499999996,28.911084499999998?authuser=0&hl=tr&entry=ttu, Response: {'candidates': [], 'status': 'ZERO_RESULTS'}
2023-12-20 13:53:23,455 - INFO - No candidates found for query: https://www.google.com/maps/search/Onur+Hukuk+B%C3%BCrosu/@40.9710263,29.1086867?authuser=0&hl=tr&entry=ttu, Response: {'candidates': [], 'status': 'ZERO_RESULTS'}
2023-12-20 13:53:23,497 - INFO - No candidates found for query: https://www.google.com/maps/search/K+-+LAW+FIRM+%7C+K+-+HUKUK+B%C3%9CROSU/@40.9550937,29.090972699999995?authuser=0&hl=tr&entry=ttu, Response: {'candidates': [], 'status': 'ZERO_RESULTS'}
2023-12-20 13:53:23,498 - INFO - No candidates found for query: https://www.google.com/maps/search/tatarka+hukuk/@40.947486999999995,29.106739499999996?authuser=0&hl=tr&entry=ttu, Response: {'candidates': [], 'status': 'ZERO_RESULTS'}
2023-12-20 13:53:23,738 - INFO - No candidates found for query: https://www.google.com/maps/search/Avukat+Mehmet+Cemil+%C3%96zel%C3%A7i-/@40.9893144,29.024247?authuser=0&hl=tr&entry=ttu, Response: {'candidates': [], 'status': 'ZERO_RESULTS'}
2023-12-20 13:53:23,929 - INFO - No candidates found for query: https://www.google.com/maps/search/M.%C3%9Cmit+Aksu+Serbest+Muhasebeci+Mali+M%C3%BC%C5%9Favir/@40.9973884,28.8733571?authuser=0&hl=tr&entry=ttu, Response: {'candidates': [], 'status': 'ZERO_RESULTS'}
2023-12-20 13:53:23,976 - INFO - No candidates found for query: https://www.google.com/maps/search/Bayram+Hukuk+B%C3%BCrosu/@40.9914578,29.0270126?authuser=0&hl=tr&entry=ttu, Response: {'candidates': [], 'status': 'ZERO_RESULTS'}
2023-12-20 13:53:23,978 - INFO - No candidates found for query: https://www.google.com/maps/search/Irmak+Hukuk+B%C3%BCrosu/@41.0604388,28.9696477?authuser=0&hl=tr&entry=ttu, Response: {'candidates': [], 'status': 'ZERO_RESULTS'}
2023-12-20 13:53:24,786 - INFO - No candidates found for query: https://www.google.com/maps/search/Ak%C3%BCnal+Hukuk+B%C3%BCrosu/@41.0654579,29.005861799999998?authuser=0&hl=tr&entry=ttu, Response: {'candidates': [], 'status': 'ZERO_RESULTS'}
2023-12-20 13:53:24,837 - INFO - No candidates found for query: https://www.google.com/maps/search/%C3%96ktem+Hukuk+B%C3%BCrosu/@41.0685212,29.010848900000003?authuser=0&hl=tr&entry=ttu, Response: {'candidates': [], 'status': 'ZERO_RESULTS'}
2023-12-20 13:53:24,839 - INFO - No candidates found for query: https://www.google.com/maps/search/M%C4%B0A+HUKUK+B%C3%9CROSU/@41.0469047,28.809627499999998?authuser=0&hl=tr&entry=ttu, Response: {'candidates': [], 'status': 'ZERO_RESULTS'}
2023-12-20 13:53:24,841 - INFO - No candidates found for query: https://www.google.com/maps/search/Avukat+Erc%C3%BCment+Ali/@41.0686374,28.895055799999998?authuser=0&hl=tr&entry=ttu, Response: {'candidates': [], 'status': 'ZERO_RESULTS'}
2023-12-20 13:53:25,281 - INFO - No candidates found for query: https://www.google.com/maps/search/Tufekci+Law+Firm/@41.019876599999996,29.046633800000002?authuser=0&hl=tr&entry=ttu, Response: {'candidates': [], 'status': 'ZERO_RESULTS'}
2023-12-20 13:53:25,311 - INFO - No candidates found for query: https://www.google.com/maps/search/Ceza+Avukat%C4%B1+Hakan+Ta%C5%9Ftemir/@40.9104679,29.1725061?authuser=0&hl=tr&entry=ttu, Response: {'candidates': [], 'status': 'ZERO_RESULTS'}
2023-12-20 13:53:25,348 - INFO - No candidates found for query: https://www.google.com/maps/search/English+Speaking+Lawyers+-+TEMEL+%26+OZ+Law+Firm/@41.054753,28.999689099999998?authuser=0&hl=tr&entry=ttu, Response: {'candidates': [], 'status': 'ZERO_RESULTS'}
2023-12-20 13:53:25,410 - INFO - No candidates found for query: https://www.google.com/maps/search/MRB+Bak%C4%B1rk%C3%B6y+Avukatl%C4%B1k+B%C3%BCrosu/@40.992278,28.869122?authuser=0&hl=tr&entry=ttu, Response: {'candidates': [], 'status': 'ZERO_RESULTS'}
2023-12-20 13:53:25,835 - INFO - No candidates found for query: https://www.google.com/maps/search/Akademi+Hukuk/@41.0941105,29.093801600000003?authuser=0&hl=tr&entry=ttu, Response: {'candidates': [], 'status': 'ZERO_RESULTS'}
2023-12-20 13:53:25,856 - INFO - No candidates found for query: https://www.google.com/maps/search/HAYY+HUKUK/@40.9899779,28.834319099999995?authuser=0&hl=tr&entry=ttu, Response: {'candidates': [], 'status': 'ZERO_RESULTS'}
2023-12-20 13:53:25,858 - INFO - No candidates found for query: https://www.google.com/maps/search/Y%C4%B1ld%C4%B1r%C4%B1m%26Partners+Hukuk+B%C3%BCrosu/@41.0298297,28.9748363?authuser=0&hl=tr&entry=ttu, Response: {'candidates': [], 'status': 'ZERO_RESULTS'}
2023-12-20 13:53:26,117 - INFO - No candidates found for query: https://www.google.com/maps/search/Keskin+Hukuk+B%C3%BCrosu/@40.992641299999995,29.1202348?authuser=0&hl=tr&entry=ttu, Response: {'candidates': [], 'status': 'ZERO_RESULTS'}
